Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Kotmale,Victoria,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wewa,Kukuleganga,Maskeliya (DOM),Inginiyagala,Total,Max,Min
2025-11-18,26.0,60.5,17.0,19.3,73.6,13.0,25.3,0.0,1.3,2.5,6.1,8.7,10.0,7.0,22.5,9.7,302.5,73.6,0.0
2025-11-19,7.5,38.2,4.0,7.5,33.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7,38.2,0.0
2025-11-20,0.0,27.8,0.0,5.1,3.9,8.3,6.5,13.7,0.0,1.0,20.4,2.2,6.0,4.0,0.0,6.4,105.3,27.8,0.0
2025-11-21,2.0,18.5,8.0,9.6,29.0,12.3,2.5,29.0,53.2,34.5,19.5,10.8,87.5,137.0,0.0,5.2,458.6,137.0,0.0
2025-11-22,15.0,16.4,16.8,11.3,9.0,3.3,8.5,63.4,20.0,26.0,67.7,39.0,26.5,7.0,19.0,51.2,400.1,67.7,3.3
2025-11-23,71.0,25.5,27.0,37.4,21.0,55.7,20.0,14.3,16.5,9.8,21.2,31.5,55.4,4.0,34.0,23.0,467.3,71.0,4.0
2025-11-24,46.0,38.9,40.0,24.5,26.0,26.8,26.6,80.1,95.0,84.0,0.0,28.8,32.5,22.0,39.0,100.0,710.2,100.0,0.0
2025-11-26,73.5,79.5,67.0,78.6,69.6,76.6,91.0,200.0,200.0,267.0,230.4,145.0,51.0,43.0,88.5,163.5,1924.2,267.0,43.0
2025-11-27,275.0,358.2,182.0,271.6,294.3,225.1,253.0,200.0,336.7,278.8,204.2,272.0,77.0,130.0,207.5,48.4,3613.8,358.2,48.4
2025-11-28,191.0,146.0,177.0,247.9,226.4,52.7,0.0,16.0,2.8,6.2,0.0,0.0,0.0,36.0,NA,3.4,1105.4,247.9,0.0
2025-11-29,12.0,16.5,18.0,20.0,0.0,4.3,4.5,0.0,0.0,0.0,25.8,16.5,0.0,2.0,6.5,0.0,126.1,25.8,0.0
